year,season,n_samples,mean_abundance,median_abundance,max_abundance
1951,spring,37,12406.15568,12178.6,14380
1951,summer,35,12029.58514,11892.54,14353.56
1951,winter,34,11862.44765,11751.525,12453.25
1952,spring,37,12447.37622,12041.4,15538.48
1952,summer,41,11915.81976,11856.59,13449.84
1953,spring,43,11752.95098,11690.56,12575.73
1953,summer,40,11667.3246,11650.98,11818.72
1954,spring,39,11616.21,11581.03,12100.5
1954,summer,34,11847.70965,11694.405,12836.28
1955,spring,32,11619.96531,11520.6,12275.6
1955,summer,38,11633.70816,11537.135,13457.4
1956,spring,34,11490.15265,11417.92,12082.5
1956,summer,42,11515.21643,11449.88,12411.78
1957,fall,35,11354.71229,11338.07,11732.76
1957,spring,33,12148.35394,11673.8,16297.68
1957,summer,39,11389.24487,11326.85,11928.88
1958,fall,43,11262.71791,11218.51,11629.42
1958,spring,42,11811.17333,11441.25,18078.88
1958,summer,42,11394.92429,11286.69,12657
1959,fall,41,11103.11317,11084,11355.33
1959,spring,42,11790.0081,11272.6,17399.27
1959,summer,42,11109.50214,11070.23,11667.76
1959,winter,39,11195.5559,11012.2,12892.61
1960,fall,39,10930.19949,10922.72,11091.2
1960,spring,44,11395.88568,11176.045,13221.6
1960,summer,40,10938.202,10905.51,11223.77
1960,winter,41,11016.54098,10843.06,12481.84
1961,fall,44,10773.37614,10764.235,10924.47
1961,spring,44,11047.19614,10965.33,12170.81
1961,summer,43,10902.81674,10770.14,11781.4
1961,winter,42,10741.1669,10664.385,12739.18
1962,fall,43,10623.95581,10600.8,10920.5
1962,spring,43,11716.07605,11233.6,16450.8
1962,summer,40,10693.31772,10599.265,11651.9
1962,winter,44,10849.73432,10564.615,15915.18
1963,fall,40,10469.7745,10450.955,10648.1
1963,spring,46,11367.09587,10878.9,16223.4
1963,summer,39,10460.05641,10418.62,10856.2
1963,winter,51,10951.62333,10387.2,17070.88
1964,fall,42,10306.69714,10247.43,10901.16
1964,spring,47,11143.59702,10751.95,15015.02
1964,summer,46,10380.67261,10255.98,11849.14
1964,winter,49,10971.40714,10601.53,19120.25
1965,fall,37,10246.7627,10103.75,11479.85
1965,spring,47,11002.98574,10557.27,16950.02
1965,summer,46,10719.46174,10206.005,14520.31
1965,winter,45,11001.362,10207.04,15495.9
1966,fall,49,10101.92265,9936.27,11987.12
1966,spring,45,10907.50578,10851.64,12751.76
1966,summer,45,10040.88844,9939.65,11195.94
1966,winter,40,11129.7195,10312.02,16270.79
1967,summer,45,10236.23911,10026.64,11898.3
1968,summer,43,10222.33512,9824.04,13161.92
1968,winter,48,10598.56417,9931.415,22709.84
1969,fall,50,9642.6998,9608.725,10208.68
1969,spring,44,10208.14705,9816.9,13023.28
1969,summer,50,9939.936,9705.865,12808.67
1969,winter,50,10740.5936,9554.38,16917.25
1972,summer,45,9626.246444,9498.44,11109.48
1972,winter,49,10481.29653,9553.26,29231.45
1975,fall,50,9470.134,9345.55,10885.68
1975,spring,50,9271.6366,9241.34,9575.8
1975,summer,48,9318.052292,9275.78,10237.2
1975,winter,48,11505.85042,10470.5,24223.25
1978,spring,52,10512.88247,9697.759294,17489.45483
1978,summer,56,9320.901994,9273.115885,10098.67
1978,winter,52,9483.661033,9128.17336,11690.2
1981,spring,50,10533.73051,9381.362736,19552
1981,summer,50,9155.854492,9040.29323,10470.82577
1981,winter,50,9396.508038,8916.48,15785.48
1983,spring,58,9182.115558,8893.9,11638.2
1984,fall,51,8765.671831,8743.32,9216.49
1984,spring,52,9255.566115,8814.440113,11711.31983
1984,summer,56,8743.462748,8709.42,9146.36
1984,winter,55,8759.571838,8606.8,9894.52
1985,fall,51,8557.054679,8515.66,8817.22
1985,spring,51,8565.035403,8513.04498,9166.36676
1985,summer,53,8596.855754,8520.58,9857.24127
1985,winter,48,9523.38031,8980.374199,19754.38
1986,fall,55,8425.353274,8334.16,9538.26
1986,spring,53,8972.128852,8475.320713,14860.64658
1986,summer,54,8325.052966,8270.57665,8955.58
1986,winter,50,12181.54672,8418.3,125053.4604
1987,fall,60,8116.395667,8090.77,8479.78
1987,spring,64,8530.745586,8246.3,13993.47884
1987,summer,62,8299.250611,8108.565,10020.94
1987,winter,62,10641.55188,8726.257383,30181.32
1988,fall,64,8110.205491,7916.835,12367.66
1988,spring,50,8020.02234,7828.93,9617.08
1988,summer,64,7978.188251,7813.027222,9767.48
1988,winter,62,9514.263093,8618.95,33511.1
1989,fall,65,7667.070707,7624.36,8443.31
1989,spring,62,7642.963093,7607.18,8527
1989,summer,63,7806.682956,7633.72,10576.63248
1989,winter,61,8464.041403,8100.08524,17896.44
1990,fall,65,7444.54548,7398.36,8002.9
1990,spring,57,8637.670806,7746.16,24595.7
1990,summer,64,7425.52651,7326.406315,11297.1
1991,fall,61,7384.057838,7236.25373,9211.9
1991,spring,53,8147.808601,7419.56,14548.53
1991,summer,64,7259.735985,7152.655,9437.08
1991,winter,60,7824.160542,7137.45071,15488.4185
1992,fall,63,7004.315863,6942.74525,7451
1992,spring,64,7040.681875,6943.455,9481.8
1992,summer,65,7146.744776,6942.92,8641.03
1992,winter,60,7532.724165,6877.69,28036.31332
1993,fall,65,6841.213054,6717.25,8810.95
1993,spring,65,6876.204923,6652.88,10113.48
1993,summer,64,6931.85772,6747.28,8404.41
1993,winter,65,6711.513972,6520.24,9159.01628
1994,fall,63,6554.744135,6466.01696,7164.71
1994,spring,65,6937.694745,6543.9,16821.17126
1994,summer,65,6444.884934,6395.71132,7226.78
1994,winter,65,6709.07935,6393.36,9740.4
1995,fall,65,6600.220102,6195.85,21171.56
1995,spring,54,6302.78304,6164.68,7909.9242
1995,summer,65,6621.909474,6157.67,10042.88
1995,winter,63,6144.394134,6003.15,10496.08
1996,fall,64,6021.56203,5938.633445,6715.75
1996,spring,60,6280.120284,6152.2,8034.63
1996,summer,65,6096.391278,5889.36,8218.05
1996,winter,64,6474.572515,5900.71,11400.33284
1997,fall,57,5921.699832,5764.76,7177.56
1997,spring,61,6099.591113,5781.68,11406.87902
1997,summer,65,5750.028954,5627.42,6941.97
1997,winter,65,5835.994316,5519.979079,11770.07531
1998,fall,65,5722.547615,5510.25,7873.23
1998,spring,64,5874.316665,5552.3,10546
1998,summer,65,5817.728104,5447.233141,7114.87
1998,winter,62,5364.419839,5305.06,6704.42
1999,fall,64,5198.338866,5149.725,5771.6
1999,spring,60,5868.580743,5364.243123,11090.20833
1999,summer,62,5188.040555,5088.96,6792.18
1999,winter,64,5165.930755,5015.847353,10294.25898
2000,fall,63,4940.650177,4931.675676,5177.987526
2000,spring,65,5246.666245,4981.74,8645.356557
2000,summer,65,4897.276279,4835.905222,5735.9
2000,winter,65,4817.254558,4747.9,5654.92278
2001,fall,64,4811.694521,4671.445224,7453
2001,spring,64,4891.345588,4669.812099,7012
2001,summer,65,4814.68348,4628.889868,7150.2
2001,winter,63,4578.718612,4484.1,6046.26
2002,fall,65,4395.334617,4380.852941,4765.46
2002,spring,64,4641.748283,4562.048814,6174.29771
2002,summer,65,4366.656869,4330.076482,4713.54
2002,winter,64,4683.961788,4331.566495,9312.739645
2003,fall,64,4153.108939,4132.189915,4754.79
2003,spring,65,4248.639408,4083.4,5920.196078
2003,summer,61,4098.900253,4063.933472,4800.28
2003,winter,64,4050.373664,3999.865,4666
2004,fall,64,3892.418496,3882.975,4031.14
2004,spring,60,3970.876802,3876.137724,5992.132296
2004,summer,65,4020.137552,3846.48,5940.94
2004,winter,63,3786.550292,3699.65,6002.808511
2005,fall,60,3663.859758,3638.065,4141.68
2005,spring,65,4842.124346,3858.1,10561.68966
2005,summer,65,3648.381041,3594.548638,4149.16
2005,winter,59,3489.074915,3460.46,3825.29
2006,fall,65,3387.239886,3371.68,3636.6
2006,spring,63,3480.758723,3376.4,4695.7
2006,summer,65,3488.165372,3340.101449,5113.143939
2006,winter,63,3321.014762,3242.34,4519.749526
2007,fall,62,3107.101924,3108.09,3179.54
2007,spring,56,3271.720723,3137.89,5153.38
2007,summer,65,3103.624874,3069.37931,3843.05
2007,winter,65,3012.477649,2971.8,3525.729207
2008,fall,65,2874.601314,2855.48,3170.76
2008,spring,52,3072.735876,2927.42,4704
2008,summer,65,2890.054097,2815.5,4032.56
2008,winter,62,2756.579268,2713.59898,3467.37
2009,fall,59,2680.898794,2661.64,2917.92
2009,spring,61,2764.01463,2667.1,4175.32
2009,summer,64,2736.420046,2597.163506,4943.42
2009,winter,65,2465.41081,2448.66,3141.947761
2010,fall,56,2452.942096,2418.31,2950.06
2010,spring,62,2363.373528,2316.857071,2968.28
2010,summer,65,2488.926086,2343.44,4310.4
2010,winter,64,2275.475165,2196.5,3456.75
2011,fall,63,2249.478689,2187.498054,2750.775828
2011,spring,61,2436.25532,2139.85,8421.633541
2011,summer,65,2150.058387,2082.82,3265.8
2011,winter,65,2204.936059,2106.4,3124.758621
2012,fall,65,2193.933349,2033.196078,5524.32
2012,spring,51,2156.839393,1992.461538,4784.816326
2012,summer,64,2049.533889,1959.71875,3138.27
2012,winter,62,2673.424568,2002.98,18060.38462
2013,fall,64,1998.255267,1787.71,4001.568628
2013,spring,58,1778.318393,1677.592949,2812.153846
2013,summer,62,1775.993228,1652.581633,2986.9
2013,winter,65,2106.825585,1789.235294,4911.92
2014,fall,61,1582.330284,1525.02,2178.45
2014,spring,62,1596.309549,1479.934066,3575.27
2014,summer,65,1918.193074,1647.745098,4939.91
2014,winter,29,1527.448647,1319.37,4872.64
2015,fall,60,1382.582337,1291.925,2258.85
2015,spring,60,1337.341524,1289.11,2085.48
2015,summer,62,1667.817511,1373.103774,4158.29
2015,winter,65,1277.767751,1099.25,4177.05
2016,spring,62,1256.652265,1073.52,4750
2016,summer,57,1649.082382,1358,5001.8
2016,winter,65,1335.534069,1055.02,5342.019231
2017,spring,64,1206.858567,922.46,4963.02
2017,summer,64,1130.517036,877.69,3954.4375
2017,winter,65,753.3268418,667.16,1565.14
2018,spring,63,1215.720901,780,10915.92308
2018,summer,65,1006.418286,704.82,5885.714286
2018,winter,45,2849.616092,1010.294118,31469.2
2019,spring,56,1858.581756,735.005,8708.764706
2019,summer,61,845.6031625,565.37,3290.38
2019,winter,29,245,245,259
2020,winter,64,375.0317174,250.4914286,1862.408163
2021,spring,43,946.3208464,518.41174,7445.816228
2021,winter,62,528.6181831,333.43,5930.076923
2022,spring,61,2197.709366,1721.571428,7431.7
2023,spring,112,13233.18221,12218.12962,27188.125
