species,GRPname,Regionname,habitat,name1
Agonidae,coastal,north,benthic,
Agonopsis.sterletus,coastal,south,benthic,
Albatrossia.pectoralis,coastal,north,benthic,
Albatrossia.pectoralis,coastal,north,benthic,
Ammodytes.hexapterus,coastal,north,benthic,AmH
Anisotremus.davidsoni,coastal,south,pelagic,
Anoplarchus.purpurescens,coastal,north,benthic,
Anoplarchus.purpurescens,coastal,north,benthic,
Anoplopoma.fimbria,coastal-oceanic,north,benthic,AF
Arctozenus.risso,oceanic,cosmopolitan,pelagic,
Arctozenus.risso,oceanic,cosmopolitan,pelagic,
Argentina.sialis,coastal,cosmopolitan,pelagic,AS
Argyropelecus,oceanic,cosmopolitan,pelagic,
Argyropelecus.affinis,oceanic,cosmopolitan,pelagic,
Argyropelecus.hemigymnus,oceanic,cosmopolitan,pelagic,
Argyropelecus.lychnus,oceanic,cosmopolitan,pelagic,
Argyropelecus.sladeni,oceanic,north,pelagic,
Aristostomias.scintillans,oceanic,north,pelagic,
Artedius.fenestralis,coastal,north,benthic,
Artedius.harringtoni,coastal,north,benthic,ArH
Artedius.lateralis,coastal,north,benthic,
Ascelichthys.rhodorus,coastal,north,pelagic,
Atheresthes.stomias,coastal,north,benthic,
Atherinops.affinis,coastal ,north,pelagic,British Columbia to Gulf
Atherinopsis.californiensis,coastal,north,pelagic,
Atractoscion.nobilis,coastal,north,benthic,
Aulorhynchus.flavidus,coastal,north,pelagic,
Aulorhynchus.flavidus,coastal,north,pelagic,
Auxis,oceanic,south,pelagic,
Bathophilus.filifer,oceanic,south,pelagic,
Bathophilus.flemingi,oceanic,north,pelagic,
Bathyagonus.pentacanthus,coastal,north,benthic,
Bathyagonus.pentacanthus,coastal,north,benthic,
Bathylagoides.wesethi,oceanic,cosmopolitan,pelagic,BW
Bathylagus.pacificus,oceanic,north,pelagic,BP
Benthalbella.dentata,oceanic,north,pelagic,
Benthosema.panamense,oceanic,south,pelagic,
Bothragonus.swani,coastal,north,benthic,
Brama.japonica,oceanic,cosmopolitan,pelagic,
Brama.japonica,oceanic,cosmopolitan,pelagic,
Bramidae,oceanic,north,pelagic,
Brosmophycis.marginata,coastal,north,benthic,
Calamus.brachysomus,coastal,south,benthic,
Caristius.maderensis,oceanic,south,pelagic,
Cataetyx.rubrirostris,coastal,north,benthic,
Caulolatilus.princeps,coastal,south,benthic,
Centrobranchus.nigroocellatus,oceanic,south,pelagic,
Centrobranchus.nigroocellatus,oceanic,south,pelagic,
Ceratoscopelus.townsendi,oceanic,cosmopolitan,pelagic,CT
Chaenopsis.alepidota,coastal,south,benthic,
Chauliodus.macouni,oceanic,north,pelagic,CM
Cheilopogon.heterurus,coastal-oceanic,south,pelagic,
Cheilopogon.pinnatibarbatus,coastal-oceanic,south,pelagic,
Cheilotrema.saturnum,coastal,south,benthic,SCB south into the Gulf
Chiasmodon.subniger,oceanic,cosmopolitan,pelagic,Chi.sub
Chiasmodontidae1,oceanic,cosmopolitan,pelagic,
Chilara.taylori,coastal,north,benthic,
Chitonotus.pugetensis,coastal,north,benthic,
Chromis.punctipinnis,coastal,SCB,benthic,
Citharichthys,coastal,cosmopolitan,benthic,
Citharichthys.fragilis,coastal,south,benthic,Cfra
Citharichthys.gordae,coastal,south,benthic,
Citharichthys.sordidus,coastal,north,benthic,Cso
Citharichthys.spp.,coastal,cosmopolitan,benthic,
Citharichthys.spp.,coastal,cosmopolitan,benthic,
Citharichthys.stigmaeus,coastal,north,benthic,CSt
Citharichthys.xanthostigma,coastal,south,benthic,
Citharichthys1,coastal,cosmopolitan,benthic,
Clarkichthys.bilineatus,coastal,south,benthic,
Clevelandia.ios,coastal,SCB,benthic,"British Columbia to southern Baja, but prob. most abundant SCB to central California"
Clinocottus.analis,coastal,SCB,benthic,
Cololabis.saira,coastal-oceanic,north,pelagic,
Coryphaena.hippurus,coastal-oceanic,south,pelagic,
Coryphaenoides.acrolepis,coastal-oceanic,north,benthic,
Coryphaenoides.leptolepis,coastal-oceanic,north,benthic,
Cottidae,coastal,north,benthic,
Cottus.asper,coastal,north,benthic,
Cryptacanthodes.aleutensis,coastal,north,benthic,CA
Cryptopsaras.couesii,oceanic,cosmopolitan,pelagic,Cosmopolitan
Cryptotrema.corallinum,coastal,SCB,benthic,
Cryptotrema.corallinum,coastal,SCB,benthic,
Cubiceps.baxteri,oceanic,south,pelagic,
Cyclothone,oceanic,cosmopolitan,pelagic,
Cyclothone.acclinidens,oceanic,cosmopolitan,pelagic,
Cyclothone.pseudopallida,oceanic,cosmopolitan,pelagic,
Cyclothone.pseudopallida,oceanic,cosmopolitan,pelagic,
Cyclothone.signata,oceanic,south,pelagic,CS
Cyclothone.spp.,oceanic,south,pelagic,
Cyclothone1,oceanic,south,pelagic,
Cyema.atrum,oceanic,cosmopolitan,pelagic,
Cyema.atrum,oceanic,cosmopolitan,pelagic,
Danaphos.oculatus,oceanic,cosmopolitan,pelagic,
Desmodema.lorum,oceanic,north,pelagic,
Diaphus,oceanic,cosmopolitan,pelagic,
Diaphus.pacificus,oceanic,south,pelagic,
Diaphus.theta,oceanic,north,pelagic,
Diaphus1,oceanic,cosmopolitan,pelagic,DT
Diogenichthys.atlanticus,oceanic,cosmopolitan,pelagic,DA
Diogenichthys.laternatus,oceanic,south,pelagic,DL
Diplophos.taenia,oceanic,cosmopolitan,pelagic,Cosmopolitan 40N to 30S except not in ETP
Diplospinus.multistriatus,oceanic,south,pelagic,
Diplospinus.multistriatus,oceanic,south,pelagic,
Dolichopteryx.longipes,oceanic,cosmopolitan,pelagic,
Dolichopteryx.longipes,oceanic,cosmopolitan,pelagic,
Dormitator.latifrons,coastal,south,benthic,
Electrona.risso,oceanic,north,pelagic,
Embassichthys.bathybius,coastal,north,benthic,
Embassichthys.bathybius,coastal,north,benthic,
Engraulis.mordax,coastal-oceanic,cosmopolitan,pelagic,EM
Enophrys.bison,coastal,north,benthic,
Enophrys.bison,coastal,north,benthic,
Eopsetta.jordani,coastal,north,pelagic,
Etropus.crossotus,coastal,south,benthic,
Etrumeus.acuminatus,coastal,south,pelagic,Etr.acu
Etrumeus.teres,coastal,south,pelagic,
Eucinostomus.dowii,coastal,south,benthic,
Eurypharynx.pelecanoides,oceanic,cosmopolitan,pelagic,
Eutaeniophorus.festivus,oceanic,south,pelagic,
Genyonemus.lineatus,coastal,north,benthic,GL
Gigantactis.type.1,oceanic,south,pelagic,
Girella.nigricans,coastal,SCB,benthic,
Glyptocephalus.zachirus,coastal,north,benthic,GZ
Gobiesox.maeandricus,oceanic,north,benthic,
Gobiesox.maeandricus,oceanic,north,benthic,
Gonichthys.tenuiculus,oceanic,north,pelagic,
Gonostoma.atlanticum,oceanic,cosmopolitan,pelagic,
Gonostoma.atlanticum,oceanic,cosmopolitan,pelagic,
Gonostomatidae1,oceanic,cosmopolitan,pelagic,
Halichoeres.semicinctus,coastal,SCB,benthic,
Hemilepidotus.spinosus,coastal,north,benthic,HS
Hermosilla.azurea,coastal,south,benthic,
Hexagrammidae.type.2,coastal,south,benthic,
Hexagrammos.decagrammus,coastal,north,benthic,HD
Hippoglossina.stomata,coastal,SCB,benthic,Hip.st
Hippoglossus.stenolepis,coastal,north,benthic,
Hippoglossus.stenolepis,coastal,north,benthic,
Howella.pammelas,coastal,south,benthic,
Hygophum,oceanic,cosmopolitan,pelagic,
Hygophum.atratum,oceanic,north,pelagic,
Hygophum.reinhardtii,oceanic,south,pelagic,
Hypsoblennius.gentilis,coastal,SCB,benthic,
Hypsoblennius.gilberti,coastal,SCB,benthic,
Hypsoblennius.jenkinsi,coastal,SCB,benthic,
Hypsoblennius.spp,coastal,SCB,benthic,
Hypsopsetta.guttulata,coastal,south,benthic,
Hypsypops.rubicundus,coastal,SCB,benthic,
Icelinus.quadriseriatus,coastal,north,benthic,
Ichthyococcus.irregularis,oceanic,south,pelagic,
Icichthys.lockingtoni,coastal-oceanic,north,pelagic,IL
Icosteus.aenigmaticus,coastal-oceanic,north,pelagic,
Idiacanthus.antrostomus,oceanic,north,pelagic,
Ilypnus.gilberti,coastal,SCB,benthic,
Ilypnus.gilberti,coastal,SCB,benthic,Central California south into the Gulf 
Isopsetta.isolepis,coastal,north,benthic,II
Kali,oceanic,south,pelagic,
Kathetostoma.averruncus,coastal,south,benthic,
Labridae,coastal,cosmopolitan,benthic,
Labrisomus.multiporosus,coastal,south,benthic,
Lampadena.urophaos,oceanic,north,pelagic,
Lampanyctus,oceanic,cosmopolitan,pelagic,these will be predominantly small steinbecki & tenuiformis that can't be distinguished commonly
Lampanyctus.acanthurus,oceanic,cosmopolitan,pelagic,
Lampanyctus.omostigma,oceanic,cosmopolitan,pelagic,
Lampanyctus.steinbecki,oceanic,south,pelagic,
Lampanyctus.tenuiformis,oceanic,south,pelagic,L. tenuiformis is tropical/subtropical
Lepidocybium.flavobrunneum,oceanic,south,pelagic,
Lepidogobius.lepidus,coastal,north,benthic,
Lepidopsetta.bilineata,coastal,north,benthic,Lep.bil
Lepidopus.fitchi,coastal,south,pelagic,
Lepidopus.fitchi,coastal,south,pelagic,
Leptocephalus.giganteus,oceanic,cosmopolitan,pelagic,
Leptocephalus.holti,oceanic,cosmopolitan,pelagic,
Leptocottus.armatus,coastal,north,pelagic,
Leptocottus.armatus,coastal,north,pelagic,
Lestidiops.pacificus,oceanic,cosmopolitan,pelagic,
Lestidiops.ringens,oceanic,north,pelagic,Les.rin
Leuresthes.tenuis,coastal,south,pelagic,Central California to Magdalena Bay
Leuroglossus.schmidti,coastal-oceanic,north,pelagic,
Leuroglossus.stilbius,coastal-oceanic,cosmopolitan,pelagic,LS
Liparis.fucensis,coastal,north,benthic,LF
Liparis.gibbus,coastal,north,benthic,
Liparis.mucosus,coastal,north,benthic,LM
Liparis.pulchellus,coastal,north,benthic,
Lipolagus.ochotensis,oceanic,cosmopolitan,pelagic,LO
Loweina.rara,oceanic,south,pelagic,
Lyopsetta.exilis,coastal,north,benthic,LE
Lythrypnus.dalli,coastal,south,benthic,
Lythrypnus.zebra,coastal,SCB,benthic,
Macroramphosus.gracilis,coastal,south,benthic,
Magnisudis.atlantica,oceanic,cosmopolitan,pelagic,
Magnisudis.atlantica,oceanic,cosmopolitan,pelagic,
Medialuna.californiensis,coastal,SCB,benthic,
Melamphaes.lugubris,oceanic,north,pelagic,Mlug
Melamphaes.parvus,oceanic,cosmopolitan,pelagic,Mpar
Melamphaes.simus,oceanic,south,pelagic,
Melamphaes.simus,oceanic,south,pelagic,
Melamphaidae,oceanic,cosmopolitan,pelagic,
Melamphaidae1,oceanic,cosmopolitan,pelagic,
Menticirrhus.undulatus,coastal,SCB,benthic,
Merluccius.productus,coastal-oceanic,cosmopolitan,pelagic,Mpr
Mesobius.berryi,oceanic,south,pelagic,
Microgadus.proximus,coastal,north,benthic,
Microstoma,oceanic,cosmopolitan,pelagic,
Microstomus.pacificus,coastal,north,benthic,Mpac
Mugil.cephalus,coastal,cosmopolitan,pelagic,
Myctophum.lychnobium,oceanic,south,pelagic,
Myctophum.lychnobium,oceanic,south,pelagic,
Myctophum.nitidulum,oceanic,cosmopolitan,pelagic,Myc.nit
Myctophum.selenops,oceanic,south,pelagic,
Nannobrachium,oceanic,south,pelagic,
Nannobrachium.bristori,oceanic,south,pelagic,"Larvae range to north of Point Conception far offshore, but more common farther south well offshore"
Nannobrachium.bristori,oceanic,south,pelagic,
Nannobrachium.hawaiiensis,oceanic,south,pelagic,"Larvae range to north of Point Conception far offshore, but more common farther south"
Nannobrachium.hawaiiensis,oceanic,south,pelagic,
Nannobrachium.idostigma,oceanic,south,pelagic,
Nannobrachium.regale,oceanic,north,pelagic,
Nannobrachium.ritteri,oceanic,south,pelagic,NR
Nannobrachium1,oceanic,south,pelagic,
Nansenia.candida,oceanic,north,pelagic,NC
Nansenia.crassa,oceanic,south,pelagic,
Nealotus.tripes,oceanic,south,pelagic,
Neoclinus.blanchardi,coastal,SCB,benthic,
Neoclinus.blanchardi,coastal,SCB,benthic,
Neoclinus.stephensae,coastal,SCB,benthic,NS
Nezumia,oceanic,SCB,benthic,"Depends on with species we get - N. liolepis is central Cal. to southern Mexico, N. stelgidolepis is British Columbia to Peru"
Nezumia,oceanic,SCB,benthic,
Notolychnus.valdiviae,oceanic,cosmopolitan,pelagic,
Notoscopelus.resplendens,oceanic,cosmopolitan,pelagic,
Odontopyxis.trispinosa,coastal,north,benthic,
Oligocottus.maculosus,coastal,north,benthic,
Ophichthus.zophochir,coastal,south,benthic,
Ophidiiformes1,coastal,cosmopolitan,benthic,
Ophiodon.elongatus,coastal,north,benthic,OE
Ophiodon.scrippsae,coastal,SCB,benthic,
Orthonopias.triacis,coastal,north,benthic,
Orthonopias.triacis,coastal,north,benthic,
Oxyjulis.californica,coastal,north,benthic,
Oxylebius.pictus,coastal,north,benthic,
Paracaristius.maderensis,oceanic,south,pelagic,
Paralabrax,coastal,south,benthic,
Paralabrax.clathratus,coastal,SCB,benthic,Oregon to Magdalena Bay
Paralabrax.nebulifer,coastal,south,benthic,
Paralepididae,oceanic,cosmopolitan,pelagic,
Paralepididae1,oceanic,cosmopolitan,pelagic,
Paralichthys.californicus,coastal,south,benthic,PC
Paricelinus.hopliticus,coastal,north,benthic,
Parophrys.vetulus,coastal,north,benthic,PV
Parvilux.ingens,oceanic,north,pelagic,
Parvilux.ingens,oceanic,north,pelagic,
Peprilus.simillimus,coastal,north,benthic,Pep.sim
Perissias.taeniopterus,coastal,south,benthic,
Perissias.taeniopterus,coastal,south,benthic,
Pholis.spp.,coastal,south,benthic,
Physiculus.rastrelliger,coastal,south,benthic,
Physiculus.rastrelliger,coastal,south,benthic,
Platichthys.stellatus,coastal,north,benthic,
Plectobranchus.evides,coastal,north,benthic,
Pleuronichthys.coenosus,coastal,north,benthic,PC
Pleuronichthys.decurrens,coastal,north,benthic,
Pleuronichthys.ritteri,coastal,SCB,benthic,
Pleuronichthys.verticalis,coastal,north,benthic,Ple.ver
Pontinus,coastal,south,benthic,
Pontinus.spp.,coastal,south,benthic,
Poroclinus.rothrocki,coastal,north,benthic,
Poromitra.crassiceps,oceanic,cosmopolitan,pelagic,
Poromitra.megalops,oceanic,south,pelagic,
Prionotus.ruscarius,coastal,south,benthic,
Prionotus.stephanophrys,coastal,south,benthic,
Protomyctophum.crockeri,oceanic,cosmopolitan,pelagic,PC
Protomyctophum.thompsoni,oceanic,north,pelagic,PT
Psenes.pellucidus,oceanic,south,pelagic,
Psettichthys.melanostictus,coastal,north,benthic,
Pseudobathylagus.milleri,oceanic,north,pelagic,
Pteraclis.aesticola,oceanic,cosmopolitan,pelagic,
Radiicephalus.elongatus,oceanic,south,pelagic,
Radulinus.asprellus,coastal,north,benthic,Rad.asp
Rathbunella,coastal,south,benthic,
Rathbunella.spp.,coastal,south,benthic,Rath
Rhamphocottus.richardsonii,coastal,north,benthic,
Rhinogobiops.nicholsii,coastal,north,benthic,RN
Roncador.stearnsii,coastal,SCB,benthic,
Ronquilus.jordani,coastal,north,benthic,Ron.jor
Rosenblattichthys.volucris,oceanic,cosmopolitan,pelagic,
Rosenblattichthys.volucris,oceanic,cosmopolitan,pelagic,
Ruscarius.creaseri,coastal,north,benthic,RC
Ruscarius.meanyi,coastal,north,benthic,Rus.mean
Ruvettus.pretiosus,oceanic ,south,pelagic,
Saccopharynx.lavenbergi,oceanic,cosmopolitan,pelagic,
Saccopharynx.lavenbergi,oceanic,cosmopolitan,pelagic,
Sarda.chiliensis,oceanic,south,pelagic,
Sarda.chiliensis.chiliensis,coastal,south,pelagic,
Sardinops.sagax,coastal-oceanic,cosmopolitan,pelagic,Sar.sag
Sciaenidae,coastal,south,benthic,
Sciaenidae.type.1,coastal,south,benthic,
Sciaenidae.type.2,coastal,south,benthic,
Sciaenidae.type.3,coastal,south,benthic,
Sciaenidae1,coastal,south,benthic,
Scomber.japonicus,coastal-oceanic,cosmopolitan,pelagic,Sc.jap
Scopelarchidae,oceanic,cosmopolitan,benthic,
Scopelarchidae1,oceanic,cosmopolitan,benthic,
Scopelarchoides.nicholsi,oceanic,south,benthic,
Scopelarchus.analis,oceanic,cosmopolitan,pelagic,
Scopelarchus.analis,oceanic,cosmopolitan,pelagic,
Scopelarchus.guentheri,oceanic,cosmopolitan,pelagic,
Scopelarchus.guentheri,oceanic,cosmopolitan,pelagic,
Scopeloberyx.robustus,oceanic,cosmopolitan,pelagic,
Scopeloberyx.robustus,oceanic,cosmopolitan,pelagic,
Scopelogadus.mizolepis.bispinosus,oceanic,south,benthic,Scop.miz
Scopelosaurus,oceanic,cosmopolitan,pelagic,
Scopelosaurus.harryi,oceanic,cosmopolitan,pelagic,
Scorpaena.guttata,coastal,SCB,benthic,Scor.gut
Scorpaenichthys.marmoratus,coastal,north,benthic,Scor.mar
Scorpaenodes.xyris,coastal,south,benthic,
Scorpaenodes.xyris,coastal,south,benthic,
Sebastes,coastal,cosmopolitan,benthic,
Sebastes.aurora,coastal,cosmopolitan,benthic,Seb.aur
Sebastes.california,coastal,SCB,benthic,
Sebastes.diploproa,coastal,cosmopolitan,benthic,
Sebastes.goodei,coastal,cosmopolitan,benthic,
Sebastes.jordani,coastal,north,benthic,S.jor
Sebastes.levis,coastal,south,benthic,S.lev
Sebastes.macdonaldi,coastal,south,benthic,S.mac
Sebastes.melanostomus,coastal,north,benthic,
Sebastes.melanostomus,coastal,north,benthic,
Sebastes.mex,coastal,south,benthic,
Sebastes.oregon,coastal,north,benthic,
Sebastes.paucispinis,coastal,north,benthic,SP
Sebastes.spp.,coastal,,benthic,
Sebastes.spp..,coastal,cosmopolitan,benthic,
Sebastes1,coastal,,benthic,
Sebastolobus,coastal,north,benthic,S
Sebastolobus.alascanus,coastal,north,benthic,
Sebastolobus.altivelis,coastal,north,benthic,
Sebastolobus.spp,coastal,north,benthic,
Sebastolobus.spp.,coastal,north,benthic,
Sebastolobus.spp...,coastal,north,benthic,
Semicossyphus.pulcher,coastal,cosmopolitan,benthic,
Seriola.lalandi,coastal,south,pelagic,
Seriphus.politus,coastal,north,benthic,
Serranus.type.1,coastal,south,benthic,
Sigmops.ebelingi,oceanic,south,pelagic,
Sigmops.ebelingi,oceanic,south,pelagic,
Sigmops.elongatum,oceanic,cosmopolitan,pelagic,
Sigmops.elongatum,oceanic,cosmopolitan,pelagic,
Spectrunculus.grandis,oceanic,cosmopolitan,benthic,
Sphyraena.argentea,coastal,south,pelagic,
Stemonosudis.macrura,oceanic,south,pelagic,
Stenobrachius.leucopsarus,oceanic,north,pelagic,SL
Stenobrachius.nannochir,oceanic,north,pelagic,
Sternoptychidae.type.2,oceanic,south,pelagic,
Sternoptychidae1,oceanic,cosmopolitan,pelagic,
Sternoptyx,oceanic,cosmopolitan,pelagic,
Stomias.atriventer,oceanic,north,pelagic,Sto.at
Symbolophorus.californiensis,oceanic,cosmopolitan,pelagic,SC
Symbolophorus.evermanni,oceanic,south,pelagic,
Symphurus.atricaudus,coastal,cosmopolitan,benthic,
Symphurus1,coastal,cosmopolitan,benthic,
Synchirus.gilli,coastal,north,benthic,
Syngnathus.californiensis,coastal,SCB,benthic,Syngnathus identifiable to species most likely would have been a larger juvenile - are these supposed to be larvae?
Synodus.lucioceps,coastal,south,benthic,
Synodus.spp.,coastal,south,benthic,
Synodus1,coastal,south,benthic,
Taaningichthys.minimus,oceanic,south,pelagic,
Tactostoma.macropus,oceanic,north,pelagic,
Tarletonbeania.crenularis,oceanic,north,pelagic,TC
Tetragonurus.cuvieri,coastal-oceanic,north,pelagic,
Theragra.chalcogramma,coastal-oceanic,north,pelagic,
Trachipterus.altivelis,coastal-oceanic,north,pelagic,
Trachurus.symmetricus,coastal-oceanic,cosmopolitan,pelagic,TS
Triphoturus.mexicanus,oceanic,south,pelagic,TM
Triphoturus.nigrescens,oceanic,south,pelagic,
Typhlogobius.californiensis,coastal,SCB,benthic,
Umbrina.roncador,coastal,south,benthic,Point Conception south into the lower Gulf
Valenciennellus.tripunctulatus,oceanic,cosmopolitan,pelagic,
Valenciennellus.tripunctulatus,oceanic,cosmopolitan,pelagic,
Vinciguerria.lucetia,oceanic,south,pelagic,VL
Vinciguerria.poweriae,oceanic,south,pelagic,
Vinciguerria.sp.,oceanic,south,pelagic,
Vinciguerria1,oceanic,south,pelagic,
Xeneretmus,coastal,north,benthic,
Xeneretmus.latifrons,coastal,north,benthic,XL
Xeneretmus.leiops,coastal,north,benthic,
Xeneretmus.leiops,coastal,north,benthic,
Xenistius.californiensis,coastal,south,benthic,
Xystreurys.liolepis,coastal,SCB,benthic,
Zaniolepis.frenata,coastal,north,benthic,ZF
Zaniolepis.latipinnis,coastal,north,benthic,
